facility_id,unplanned_score_edac_30_ami,unplanned_score_edac_30_hf,unplanned_score_edac_30_pn,unplanned_score_hybrid_hwr,unplanned_score_op_32,unplanned_score_op_35_adm,unplanned_score_op_35_ed,unplanned_score_op_36,unplanned_score_readm_30_ami,unplanned_score_readm_30_cabg,unplanned_score_readm_30_copd,unplanned_score_readm_30_hf,unplanned_score_readm_30_hip_knee,unplanned_score_readm_30_pn,unplanned_flag_edac_30_ami,unplanned_flag_edac_30_hf,unplanned_flag_edac_30_pn,unplanned_flag_hybrid_hwr,unplanned_flag_op_32,unplanned_flag_op_35_adm,unplanned_flag_op_35_ed,unplanned_flag_op_36,unplanned_flag_readm_30_ami,unplanned_flag_readm_30_cabg,unplanned_flag_readm_30_copd,unplanned_flag_readm_30_hf,unplanned_flag_readm_30_hip_knee,unplanned_flag_readm_30_pn
050723,,51.4,,14.6,,,,,,,,20.0,,,number of cases too small,more days than average per 100 discharges,number of cases too small,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,number of cases too small
050726,,,,,13.0,,,1.0,,,,,3.8,,,,,number of cases too small,no different than the national rate,,,no different than expected,,,,,no different than the national rate,
050735,,-8.8,30.9,15.4,13.2,,,,,,17.7,19.8,,17.9,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
050736,,46.8,28.2,15.9,12.4,,,,,,,20.1,,16.8,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
050737,50.3,21.9,40.2,16.0,,,,1.0,14.1,12.1,17.6,19.7,,17.0,more days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
050738,,51.8,15.4,15.3,,,,,,,17.7,20.0,,16.2,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,number of cases too small,,,,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
050739,70.0,9.7,69.0,17.3,,,,,16.2,,19.4,21.7,,19.0,more days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,worse than the national rate,number of cases too small,,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate,number of cases too small,worse than the national rate
050740,,34.2,49.1,15.1,12.9,,,1.1,,,18.2,19.8,4.6,16.7,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
050744,,,-14.0,14.7,,,,,,,,,,16.1,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate
050745,,,-1.5,15.2,,,,,,,,,4.4,17.0,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate
