facility_id,comp_score_comp_hip_knee,comp_score_hybrid_hwm,comp_score_mort_30_ami,comp_score_mort_30_cabg,comp_score_mort_30_copd,comp_score_mort_30_hf,comp_score_mort_30_pn,comp_score_mort_30_stk,comp_score_psi_03,comp_score_psi_04,comp_score_psi_06,comp_score_psi_08,comp_score_psi_09,comp_score_psi_10,comp_score_psi_11,comp_score_psi_12,comp_score_psi_13,comp_score_psi_14,comp_score_psi_15,comp_score_psi_90,comp_flag_comp_hip_knee,comp_flag_hybrid_hwm,comp_flag_mort_30_ami,comp_flag_mort_30_cabg,comp_flag_mort_30_copd,comp_flag_mort_30_hf,comp_flag_mort_30_pn,comp_flag_mort_30_stk,comp_flag_psi_03,comp_flag_psi_04,comp_flag_psi_06,comp_flag_psi_08,comp_flag_psi_09,comp_flag_psi_10,comp_flag_psi_11,comp_flag_psi_12,comp_flag_psi_13,comp_flag_psi_14,comp_flag_psi_15,comp_flag_psi_90
051303,3.2,4.0,,,,,,,,,,,,,,,,,,,No Different Than the National Rate,No Different Than the National Rate,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,,,,,,,,,,,
051304,,4.5,,,,,15.2,,,,,,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,,,,,,,,,,,
051305,,5.2,,,,,17.1,,,,,,,,,,,,,,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,,,,,,,,,,,
051306,,4.2,,,,,14.7,,,,,,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,,,,,,,,,,,
05130F,4.5,,11.1,,7.8,7.6,11.1,,0.36,197.57,0.22,0.25,1.7,1.56,9.32,3.42,4.27,2.41,1.25,0.88,No Different Than the National Rate,,No Different Than the National Rate,,No Different Than the National Rate,Better Than the National Rate,Better Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
051310,3.0,4.2,,,,11.3,13.4,13.0,,,,,,,,,,,,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,,,,,
051311,,4.7,,,,,22.6,,,,,,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,,,,,,,,,,,
051312,,4.1,,,,,,,,,,,,,,,,,,,,No Different Than the National Rate,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,,,,,,,,,,,,
051314,,3.7,,,7.2,,15.6,,,,,,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,,,,,,,,,,,,
051315,,4.9,,,,,,,,,,,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,,,,,,,,,,,,
